Year,Date,Tournament,Site,State,Winner,Tournament_URL
2024,June 13-16 2024,2024 Bassmaster Elite at Wheeler Lake,Wheeler Lake,AL,Cliff Prince,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2024
2024,May 10-13 2024,2024 Bassmaster Elite at Lake Murray,Lake Murray,SC,Patrick Walters,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2024
2024,April 18-21 2024,2024 Bassmaster Elite at St. John's River,St. John's River,FL,Cory Johnston,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2024
2024,April 12-15 2024,2024 Bassmaster Elite at Harris Chain of Lakes,Harris Chain of Lakes,FL,John Garrett,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2024
2024,March 22-24 2024,2024 Bass Pro Shops Bassmaster Classic,Grand Lake O' the Cherokees,OK,Justin Hamner,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2024
2024,February 29-3 2024,2024 Bassmaster Elite at Lake Fork,Lake Fork,TX,Trey McKinney,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2024
2024,February 22-25 2024,2024 Bassmaster Elite at Toledo Bend Reservoir,Toledo Bend Reservoir,LA,Kyoya Fujita,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2024
2023,August 24-27 2023,2023 Bassmaster Elite at St. Lawrence River,St. Lawrence River,NY,Patrick Walters,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2023
2023,August 17-20 2023,2023 Bassmaster Elite at Lake Champlain,Lake Champlain,NY,Kyoya Fujita,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2023
2023,July 27-30 2023,2023 Bassmaster Elite at Lake St. Clair,Lake St. Clair,MI,Joey Cifuentes III,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2023
2023,June 1-4 2023,2023 Bassmaster Elite at Sabine River,Sabine River,TX,Brock Mosley,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2023
2023,May 11-14 2023,2023 Bassmaster Elite at Lay Lake,Lay Lake,AL,Will Davis Jr.,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2023
2023,April 27-30 2023,2023 Bassmaster Elite at Santee Cooper,Santee Cooper Lakes,SC,Luke Palmer,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2023
2023,April 20-23 2023,2023 Bassmaster Elite at Lake Murray,Lake Murray,SC,Drew Benton,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2023
2023,March 24-26 2023,2023 Academy Sports + Outdoors Bassmaster Classic,Tennessee River,TN,Jeff Gustafson,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2023
2023,February 23-26 2023,2023 Bassmaster Elite at Lake Seminole,Lake Seminole,GA,Joey Cifuentes III,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2023
2023,February 16-19 2023,2023 Bassmaster Elite at Lake Okeechobee,Lake Okeechobee,FL,Tyler Rivet,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2023
2022,August 26-29 2022,2022 Bassmaster Elite at Mississippi River,Mississippi River,WI,Bryan Schmitt,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2022
2022,August 18-21 2022,2022 Bassmaster Elite at Lake Oahe,Lake Oahe,SD,Austin Felix,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2022
2022,July 14-17 2022,2022 Bassmaster Elite at St. Lawrence River,St. Lawrence River,NY,Jay Przekurat,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2022
2022,June 2-5 2022,Bassmaster Elite at Pickwick Lake,Pickwick Lake,TN,Brandon Lester,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2022
2022,May 19-22 2022,2022 Bassmaster Elite at Lake Fork,Lake Fork,TX,Lee Livesay,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2022
2022,April 7-10 2022,2022 Bassmaster Elite at Chickamauga Lake,Chickamauga Lake,TN,Jason Christie,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2022
2022,March 17-21 2022,2022 Bassmaster Elite at Santee Cooper Lakes,Santee Cooper Lakes,SC,Drew Cook,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2022
2022,March 4-6 2022,2022 Academy Sports + Outdoors Bassmaster Classic presented by Huk,Lake Hartwell,SC,Jason Christie,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2022
2022,February 17-20 2022,2022 Bassmaster Elite at Harris Chain,Harris Chain of Lakes,FL,Buddy Gross,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2022
2022,February 10-13 2022,2022 Bassmaster Elite at St. Johns River,S. John's River,FL,John Crews,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2022
2021,July 15-18 2021,2021 Bassmaster Elite at St. Lawrence River,St. Lawrence River,NY,Taku Ito,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2021
2021,July 8-11 2021,2021 Bassmaster Elite at Lake Champlain,Lake Champlain,VT,Bryan Schmitt,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2021
2021,June 11-13 2021,2021 Academy Sports + Outdoors Bassmaster Classic presented by Huk,Lake Ray Roberts,TX,Hank Cherry,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2021
2021,May 20-23 2021,2021 Bassmaster Elite at Lake Guntersville,Lake Guntersville,AL,Caleb Kuphall,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2021
2021,May 7-10 2021,2021 Bassmaster Elite at Neely Henry Lake,Neely Henry Lake,AL,Wes Logan,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2021
2021,April 22-25 2021,2021 Bassmaster Elite at Lake Fork,Lake Fork,TX,Lee Livesay,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2021
